shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
400000,101,43.348230,-8.410840,2667.9840947677167
400000,102,43.348670,-8.410530,2722.9575015283085
400000,103,43.349550,-8.409970,2830.7783718453097
400000,104,43.349620,-8.409920,2839.5493824788578
400000,105,43.349650,-8.409860,2845.437094402781
400000,106,43.349660,-8.409800,2850.4144088892426
400000,107,43.349720,-8.409690,2861.5329871281174
400000,108,43.349810,-8.409640,2872.3263386633153
400000,109,43.349900,-8.409660,2882.463716603863
400000,110,43.350030,-8.409640,2897.0092542585885
400000,111,43.350570,-8.409320,2962.3922207869095
400000,112,43.350579,-8.409314,2963.487535601277
400000,113,43.350990,-8.409050,3013.944929219842
400000,114,43.351280,-8.408810,3051.580267934394
400000,115,43.351630,-8.408440,3100.66842982945
400000,116,43.353640,-8.405900,3404.19828665704
400000,117,43.353870,-8.405570,3441.1574365052616
400000,118,43.353980,-8.405370,3461.4329515128093
400000,119,43.354120,-8.404980,3496.598913937065
400000,120,43.354260,-8.404380,3547.547043835159
400000,121,43.354300,-8.404130,3568.243735701824
400000,122,43.354290,-8.404020,3577.2067467476386
400000,123,43.354310,-8.403940,3584.0465778196794
400000,124,43.354370,-8.403880,3592.2955314748874
400000,125,43.354410,-8.403870,3596.816224251326
400000,126,43.354480,-8.403890,3604.7660751418666
400000,127,43.354530,-8.403990,3614.578393728747
400000,128,43.354720,-8.404100,3637.5011151642725
400000,129,43.355050,-8.404230,3675.6711612409567
400000,130,43.355816,-8.404462,3762.2011953348706
400000,131,43.356210,-8.404590,3807.26810700044
400000,132,43.356620,-8.404410,3855.124500279392
400000,133,43.356910,-8.404110,3895.4746458659297
400000,134,43.356930,-8.404050,3900.8110611967318
400000,135,43.357040,-8.403980,3914.288361568689
400000,136,43.357200,-8.403990,3932.09793498312
400000,137,43.357370,-8.404090,3952.65746653593
400000,138,43.357650,-8.404120,3983.8864194353905
400000,139,43.357900,-8.404080,4011.872662602142
400000,140,43.358140,-8.404000,4039.3320643339002
400000,141,43.358270,-8.403880,4056.7412521247793
400000,142,43.359010,-8.402980,4166.582152719964
400000,143,43.359120,-8.402930,4179.464264805797
400000,144,43.359200,-8.402930,4188.359871224933
400000,145,43.359260,-8.402950,4195.224714062838
400000,146,43.359370,-8.403040,4209.456737233297
400000,147,43.360280,-8.404080,4341.017268669905
400000,148,43.360820,-8.404530,4411.223656114047
400000,149,43.361180,-8.404790,4456.436826489376
400000,150,43.361600,-8.405030,4507.008761235838
400000,151,43.361920,-8.405140,4543.685575287164
400000,152,43.362690,-8.405260,4629.8536106585225
400000,153,43.363180,-8.405230,4684.393148373642
400000,154,43.364780,-8.405000,4863.274194336373
400000,155,43.365790,-8.404770,4977.109854517401
400000,156,43.365990,-8.404760,4999.363557507081
400000,157,43.366100,-8.404820,5012.521562594067
400000,158,43.366310,-8.404990,5039.616141719548
400000,159,43.367200,-8.405810,5158.727651401901
400000,160,43.367320,-8.405950,5176.223918235289
400000,161,43.367390,-8.406090,5189.9591891167565
400000,162,43.367510,-8.406230,5207.455433021549
400000,163,43.367810,-8.406500,5247.319416111279
400000,164,43.367900,-8.406560,5258.440311332434
400000,165,43.367770,-8.407010,5297.582784404808
400000,166,43.367690,-8.407330,5324.936693412869
400000,167,43.367740,-8.408080,5385.817015441948
400000,168,43.367720,-8.408190,5394.982704024625
400000,169,43.367660,-8.408250,5403.231030041819
400000,170,43.367610,-8.408380,5415.119663016453
400000,171,43.367560,-8.408480,5424.93054553498
400000,172,43.367420,-8.408640,5445.169582909013
400001,0,43.367420,-8.408640,0
400001,1,43.367320,-8.408760,14.755927599632654
400001,2,43.367270,-8.408790,20.821547972295384
400001,3,43.367210,-8.408800,27.542044833840205
400001,4,43.367150,-8.408760,34.95599067336353
400001,5,43.366900,-8.408720,62.94217687273391
400001,6,43.366050,-8.408480,159.42858399326215
400001,7,43.364620,-8.408130,320.93510553212207
400001,8,43.361880,-8.408000,625.7908217900997
400001,9,43.361370,-8.407740,686.2703125995326
400001,10,43.361270,-8.407660,699.1338785890457
400001,11,43.360790,-8.406830,784.8728226948857
400001,12,43.360660,-8.406660,804.8187528835143
400001,13,43.359930,-8.406110,897.3716955322647
400001,14,43.359770,-8.405910,921.4125798314564
400001,15,43.359470,-8.405500,968.4390391641824
400001,16,43.359370,-8.405420,981.3027069840585
400001,17,43.359220,-8.405400,998.0601590126477
400001,18,43.358440,-8.405470,1084.9767576503348
400001,19,43.356600,-8.405970,1293.53091192449
400001,20,43.354590,-8.406480,1520.8048114038195
400001,21,43.353120,-8.406830,1686.6930979118702
400001,22,43.350370,-8.407480,1996.9631903376282
400001,23,43.350160,-8.407630,2023.2761596023163
400001,24,43.349650,-8.407760,2080.951627912953
400001,25,43.348850,-8.408220,2177.370845880997
400001,26,43.348510,-8.408300,2215.726597498085
400001,27,43.348320,-8.408400,2238.348196415652
400001,28,43.348310,-8.408450,2242.5413397936886
400001,29,43.348230,-8.408500,2252.312616813008
400001,30,43.347760,-8.408440,2304.7990199537444
400001,31,43.347600,-8.408470,2322.754853083968
400001,32,43.346580,-8.408710,2437.8221936703676
400001,33,43.345390,-8.408760,2570.2060954698045
400001,34,43.345060,-8.408740,2606.936095388871
